section,department,agency,subagency_name,subagency_acronym,acronyms_mentioned,agencies_mentioned,racialized_terms,text
USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,USAID,USAID,"c(""dei"", ""diversity"")","The next conservative Administration should dismantle USAID’s DEI apparatus by eliminating the Chief Diversity Officer position along with the DEI advisers and committees; cancel the DEI scorecard and dashboard; remove DEI requirements from contract and grant tenders and awards; issue a directive to cease promotion of the DEI agenda, including the bullying LGBTQ+ agenda; and provide staff a confidential medium through which to adjudicate cases of political retaliation that agency or implementing staff suffered during the Biden Administration. It should eliminate funding for partners that promote discriminatory DEI practices and consider debarment in egregious cases."
USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,USAID,USAID,"c(""dei"", ""civil rights"", ""equality"")","As federal departments and agencies cannot play partisan politics, staff—irrespective of hiring mechanism—as well as implementers and grantees that engage in ideological agitation on behalf of the DEI agenda should be dismissed, and entities should be debarred. The next conservative Administration should return the authority over all civil rights issues at USAID to the agency’s Office of Civil Rights, which is the appropriate locus for ensuring that all Americans have guaranteed equality of career opportunity at USAID."
USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,USAID,USAID,"c(""dei"", ""civil rights"", ""equality"")","As federal departments and agencies cannot play partisan politics, staff—irrespective of hiring mechanism—as well as implementers and grantees that engage in ideological agitation on behalf of the DEI agenda should be dismissed, and entities should be debarred. The next conservative Administration should return the authority over all civil rights issues at USAID to the agency’s Office of Civil Rights, which is the appropriate locus for ensuring that all Americans have guaranteed equality of career opportunity at USAID."
USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,USAID,USAID,"c(""dei"", ""civil rights"", ""equality"")","As federal departments and agencies cannot play partisan politics, staff—irrespective of hiring mechanism—as well as implementers and grantees that engage in ideological agitation on behalf of the DEI agenda should be dismissed, and entities should be debarred. The next conservative Administration should return the authority over all civil rights issues at USAID to the agency’s Office of Civil Rights, which is the appropriate locus for ensuring that all Americans have guaranteed equality of career opportunity at USAID."
USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,USAID,USAID,"c(""equality"", ""equity"")","In addition, the next conservative Administration should rescind President Biden’s 2022 Gender Policy and refocus it on Women, Children, and Families and revise the agency’s regulation on “Integrating Gender Equality and Female Empowerment in USAID’s Program Cycle.”10 It should remove all references, examples, definitions, photos, and language on USAID websites, in agency publications and policies, and in all agency contracts and grants that include the following terms: “gender,” “gender equality,” “gender equity,” “gender diverse individuals,” “gender aware,” “gender sensitive,” etc. It should also remove references to “abortion,” “reproductive health,” and “sexual and reproductive rights” and controversial sexual education materials."
USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,USAID,USAID,"c(""equality"", ""equity"")","In addition, the next conservative Administration should rescind President Biden’s 2022 Gender Policy and refocus it on Women, Children, and Families and revise the agency’s regulation on “Integrating Gender Equality and Female Empowerment in USAID’s Program Cycle.”10 It should remove all references, examples, definitions, photos, and language on USAID websites, in agency publications and policies, and in all agency contracts and grants that include the following terms: “gender,” “gender equality,” “gender equity,” “gender diverse individuals,” “gender aware,” “gender sensitive,” etc. It should also remove references to “abortion,” “reproductive health,” and “sexual and reproductive rights” and controversial sexual education materials."
USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID,USAID,USAID,"c(""equality"", ""equity"")","In addition, the next conservative Administration should rescind President Biden’s 2022 Gender Policy and refocus it on Women, Children, and Families and revise the agency’s regulation on “Integrating Gender Equality and Female Empowerment in USAID’s Program Cycle.”10 It should remove all references, examples, definitions, photos, and language on USAID websites, in agency publications and policies, and in all agency contracts and grants that include the following terms: “gender,” “gender equality,” “gender equity,” “gender diverse individuals,” “gender aware,” “gender sensitive,” etc. It should also remove references to “abortion,” “reproductive health,” and “sexual and reproductive rights” and controversial sexual education materials."
PEPFAR,NA,NA,NA,NA,SAO,NULL,"c(""race"", ""diversity"", ""inclusion"")","The Administration should appoint a Senior Accountable Official (SAO) to report on the agency’s adherence to Administration policy priorities, including on Protecting Life in Foreign Assistance, critical race theory, climate change, gender, and diversity and inclusion. It should also create a program to staff hard-to-fill positions overseas."
PEPFAR,NA,NA,NA,NA,USAID,USAID,"c(""diversity"", ""equity"", ""inclusion"")","8. Adva Saldinger, “USAID Steps Up ‘Languishing’ Diversity, Equity, and Inclusion Effort,” Devex.com, December 15, 2021, http://www.devex.com/news/usaid-steps-up-languishing-diversity-equity-and-inclusion-"
PEPFAR,NA,NA,NA,NA,NULL,NULL,"c(""equity"", ""equality"")","9. U.S. Agency for International Development, “Gender Equity and Women Empowerment,” https://www.usaid. gov/gender-equality-and-womens-empowerment (accessed January 30, 2023)."
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,NULL,NULL,"c(""racist"", ""color"")","Short of this, the Secretary of Education should insist that the department serve parents and American ideals, not advocates whose message is that children can choose their own sex, that America is “systemically racist,” that math itself is racist, and that Martin Luther King, Jr.’s ideal of a colorblind society should be rejected in favor of reinstating a color-conscious society. The next head of this department will have a lot to do—hopefully culminating in the department’s closure and the salutary restoration of educational control to states, localities, and parents."
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,NULL,NULL,"c(""racist"", ""color"")","Short of this, the Secretary of Education should insist that the department serve parents and American ideals, not advocates whose message is that children can choose their own sex, that America is “systemically racist,” that math itself is racist, and that Martin Luther King, Jr.’s ideal of a colorblind society should be rejected in favor of reinstating a color-conscious society. The next head of this department will have a lot to do—hopefully culminating in the department’s closure and the salutary restoration of educational control to states, localities, and parents."
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,NULL,NULL,"c(""racist"", ""color"")","Short of this, the Secretary of Education should insist that the department serve parents and American ideals, not advocates whose message is that children can choose their own sex, that America is “systemically racist,” that math itself is racist, and that Martin Luther King, Jr.’s ideal of a colorblind society should be rejected in favor of reinstating a color-conscious society. The next head of this department will have a lot to do—hopefully culminating in the department’s closure and the salutary restoration of educational control to states, localities, and parents."
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,NULL,NULL,"c(""racist"", ""color"")","Short of this, the Secretary of Education should insist that the department serve parents and American ideals, not advocates whose message is that children can choose their own sex, that America is “systemically racist,” that math itself is racist, and that Martin Luther King, Jr.’s ideal of a colorblind society should be rejected in favor of reinstating a color-conscious society. The next head of this department will have a lot to do—hopefully culminating in the department’s closure and the salutary restoration of educational control to states, localities, and parents."
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,NULL,NULL,"c(""racist"", ""color"")","Short of this, the Secretary of Education should insist that the department serve parents and American ideals, not advocates whose message is that children can choose their own sex, that America is “systemically racist,” that math itself is racist, and that Martin Luther King, Jr.’s ideal of a colorblind society should be rejected in favor of reinstating a color-conscious society. The next head of this department will have a lot to do—hopefully culminating in the department’s closure and the salutary restoration of educational control to states, localities, and parents."
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,NULL,NULL,"c(""racist"", ""color"")","Short of this, the Secretary of Education should insist that the department serve parents and American ideals, not advocates whose message is that children can choose their own sex, that America is “systemically racist,” that math itself is racist, and that Martin Luther King, Jr.’s ideal of a colorblind society should be rejected in favor of reinstating a color-conscious society. The next head of this department will have a lot to do—hopefully culminating in the department’s closure and the salutary restoration of educational control to states, localities, and parents."
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,NULL,NULL,"c(""racist"", ""color"")","Short of this, the Secretary of Education should insist that the department serve parents and American ideals, not advocates whose message is that children can choose their own sex, that America is “systemically racist,” that math itself is racist, and that Martin Luther King, Jr.’s ideal of a colorblind society should be rejected in favor of reinstating a color-conscious society. The next head of this department will have a lot to do—hopefully culminating in the department’s closure and the salutary restoration of educational control to states, localities, and parents."
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,NULL,NULL,"c(""racist"", ""color"")","Short of this, the Secretary of Education should insist that the department serve parents and American ideals, not advocates whose message is that children can choose their own sex, that America is “systemically racist,” that math itself is racist, and that Martin Luther King, Jr.’s ideal of a colorblind society should be rejected in favor of reinstating a color-conscious society. The next head of this department will have a lot to do—hopefully culminating in the department’s closure and the salutary restoration of educational control to states, localities, and parents."
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,NULL,NULL,"c(""racist"", ""color"")","Short of this, the Secretary of Education should insist that the department serve parents and American ideals, not advocates whose message is that children can choose their own sex, that America is “systemically racist,” that math itself is racist, and that Martin Luther King, Jr.’s ideal of a colorblind society should be rejected in favor of reinstating a color-conscious society. The next head of this department will have a lot to do—hopefully culminating in the department’s closure and the salutary restoration of educational control to states, localities, and parents."
DEPARTMENT OF AGRICULTURE,DEPARTMENT OF AGRICULTURE,USDA,DEPARTMENT OF AGRICULTURE,USDA,USDA,USDA,"c(""equity"", ""racism"")","The Biden Administration’s centrally planned transformational effort minimizes the importance of efficient agricultural production and instead places issues such as climate change and equity front and center. The USDA’s Strategic Plan Fiscal Years 2022–2026 identifies six strategic goals, the first three of which focus on issues such as climate change, renewable energy, and systemic racism. In the Secretary of Agriculture’s message, there is only one mention of affordable food— and nothing about efficient production and the incredible innovation and respect for the environment that already exists within the agricultural community.11"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""diversity"", ""woke"")","Although student loans and grants should ultimately be restored to the private sector (or, at the very least, the federal government should revisit its role as a guarantor, rather than direct lender) federal postsecondary education investments should bolster economic growth, and recipient institutions should nourish academic freedom and embrace intellectual diversity. That has not, however, been the track record of federal higher education policy or of the many institutions of higher education that are hostile to free expression, open academic inquiry, and American exceptionalism. Federal postsecondary policy should be more than massive, inefficient, and open-ended subsidies to “traditional” colleges and universities. It should be rebalanced to focus far more on bolstering the workforce skills of Americans who have no interest in pursuing a fouryear academic degree. It should reflect a fuller picture of learning after high school, placing apprenticeship programs of all types and career and technical education on an even playing field with degrees from colleges and universities. Rather than continuing to buttress a higher education establishment captured by woke “diversicrats” and a de facto monopoly enforced by the federal accreditation cartel, federal postsecondary education policy should prepare students for jobs in the dynamic economy, nurture institutional diversity, and expose schools to greater market forces.1"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""diversity"", ""woke"")","Although student loans and grants should ultimately be restored to the private sector (or, at the very least, the federal government should revisit its role as a guarantor, rather than direct lender) federal postsecondary education investments should bolster economic growth, and recipient institutions should nourish academic freedom and embrace intellectual diversity. That has not, however, been the track record of federal higher education policy or of the many institutions of higher education that are hostile to free expression, open academic inquiry, and American exceptionalism. Federal postsecondary policy should be more than massive, inefficient, and open-ended subsidies to “traditional” colleges and universities. It should be rebalanced to focus far more on bolstering the workforce skills of Americans who have no interest in pursuing a fouryear academic degree. It should reflect a fuller picture of learning after high school, placing apprenticeship programs of all types and career and technical education on an even playing field with degrees from colleges and universities. Rather than continuing to buttress a higher education establishment captured by woke “diversicrats” and a de facto monopoly enforced by the federal accreditation cartel, federal postsecondary education policy should prepare students for jobs in the dynamic economy, nurture institutional diversity, and expose schools to greater market forces.1"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""diversity"", ""woke"")","Although student loans and grants should ultimately be restored to the private sector (or, at the very least, the federal government should revisit its role as a guarantor, rather than direct lender) federal postsecondary education investments should bolster economic growth, and recipient institutions should nourish academic freedom and embrace intellectual diversity. That has not, however, been the track record of federal higher education policy or of the many institutions of higher education that are hostile to free expression, open academic inquiry, and American exceptionalism. Federal postsecondary policy should be more than massive, inefficient, and open-ended subsidies to “traditional” colleges and universities. It should be rebalanced to focus far more on bolstering the workforce skills of Americans who have no interest in pursuing a fouryear academic degree. It should reflect a fuller picture of learning after high school, placing apprenticeship programs of all types and career and technical education on an even playing field with degrees from colleges and universities. Rather than continuing to buttress a higher education establishment captured by woke “diversicrats” and a de facto monopoly enforced by the federal accreditation cartel, federal postsecondary education policy should prepare students for jobs in the dynamic economy, nurture institutional diversity, and expose schools to greater market forces.1"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""diversity"", ""woke"")","Although student loans and grants should ultimately be restored to the private sector (or, at the very least, the federal government should revisit its role as a guarantor, rather than direct lender) federal postsecondary education investments should bolster economic growth, and recipient institutions should nourish academic freedom and embrace intellectual diversity. That has not, however, been the track record of federal higher education policy or of the many institutions of higher education that are hostile to free expression, open academic inquiry, and American exceptionalism. Federal postsecondary policy should be more than massive, inefficient, and open-ended subsidies to “traditional” colleges and universities. It should be rebalanced to focus far more on bolstering the workforce skills of Americans who have no interest in pursuing a fouryear academic degree. It should reflect a fuller picture of learning after high school, placing apprenticeship programs of all types and career and technical education on an even playing field with degrees from colleges and universities. Rather than continuing to buttress a higher education establishment captured by woke “diversicrats” and a de facto monopoly enforced by the federal accreditation cartel, federal postsecondary education policy should prepare students for jobs in the dynamic economy, nurture institutional diversity, and expose schools to greater market forces.1"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""diversity"", ""woke"")","Although student loans and grants should ultimately be restored to the private sector (or, at the very least, the federal government should revisit its role as a guarantor, rather than direct lender) federal postsecondary education investments should bolster economic growth, and recipient institutions should nourish academic freedom and embrace intellectual diversity. That has not, however, been the track record of federal higher education policy or of the many institutions of higher education that are hostile to free expression, open academic inquiry, and American exceptionalism. Federal postsecondary policy should be more than massive, inefficient, and open-ended subsidies to “traditional” colleges and universities. It should be rebalanced to focus far more on bolstering the workforce skills of Americans who have no interest in pursuing a fouryear academic degree. It should reflect a fuller picture of learning after high school, placing apprenticeship programs of all types and career and technical education on an even playing field with degrees from colleges and universities. Rather than continuing to buttress a higher education establishment captured by woke “diversicrats” and a de facto monopoly enforced by the federal accreditation cartel, federal postsecondary education policy should prepare students for jobs in the dynamic economy, nurture institutional diversity, and expose schools to greater market forces.1"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""diversity"", ""woke"")","Although student loans and grants should ultimately be restored to the private sector (or, at the very least, the federal government should revisit its role as a guarantor, rather than direct lender) federal postsecondary education investments should bolster economic growth, and recipient institutions should nourish academic freedom and embrace intellectual diversity. That has not, however, been the track record of federal higher education policy or of the many institutions of higher education that are hostile to free expression, open academic inquiry, and American exceptionalism. Federal postsecondary policy should be more than massive, inefficient, and open-ended subsidies to “traditional” colleges and universities. It should be rebalanced to focus far more on bolstering the workforce skills of Americans who have no interest in pursuing a fouryear academic degree. It should reflect a fuller picture of learning after high school, placing apprenticeship programs of all types and career and technical education on an even playing field with degrees from colleges and universities. Rather than continuing to buttress a higher education establishment captured by woke “diversicrats” and a de facto monopoly enforced by the federal accreditation cartel, federal postsecondary education policy should prepare students for jobs in the dynamic economy, nurture institutional diversity, and expose schools to greater market forces.1"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,"c(""ED"", ""ESEA"")",ED,"c(""civil rights"", ""black"")","For most of our history, the federal government played a minor role in education. Then, over a 14-month period beginning in 1964, Congress planted the seeds for what would become the U.S. Department of Education (ED or the department). In July of that year, President Lyndon B. Johnson signed into law the Civil Rights Act of 1964, after Congress reached a consensus that the mistreatment of black Americans was no longer tolerable and merited a federal response. In the case of the Elementary and Secondary Education Act of 1965 (ESEA)2 and the Higher Education Act of 1965 (HEA),3 Congress sought to improve educational outcomes for disadvantaged students by providing additional compensatory funding for low-income children and lower-income college students."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,"c(""ED"", ""ESEA"")",ED,"c(""civil rights"", ""black"")","For most of our history, the federal government played a minor role in education. Then, over a 14-month period beginning in 1964, Congress planted the seeds for what would become the U.S. Department of Education (ED or the department). In July of that year, President Lyndon B. Johnson signed into law the Civil Rights Act of 1964, after Congress reached a consensus that the mistreatment of black Americans was no longer tolerable and merited a federal response. In the case of the Elementary and Secondary Education Act of 1965 (ESEA)2 and the Higher Education Act of 1965 (HEA),3 Congress sought to improve educational outcomes for disadvantaged students by providing additional compensatory funding for low-income children and lower-income college students."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,"c(""ED"", ""ESEA"")",ED,"c(""civil rights"", ""black"")","For most of our history, the federal government played a minor role in education. Then, over a 14-month period beginning in 1964, Congress planted the seeds for what would become the U.S. Department of Education (ED or the department). In July of that year, President Lyndon B. Johnson signed into law the Civil Rights Act of 1964, after Congress reached a consensus that the mistreatment of black Americans was no longer tolerable and merited a federal response. In the case of the Elementary and Secondary Education Act of 1965 (ESEA)2 and the Higher Education Act of 1965 (HEA),3 Congress sought to improve educational outcomes for disadvantaged students by providing additional compensatory funding for low-income children and lower-income college students."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,"c(""ED"", ""ESEA"")",ED,"c(""civil rights"", ""black"")","For most of our history, the federal government played a minor role in education. Then, over a 14-month period beginning in 1964, Congress planted the seeds for what would become the U.S. Department of Education (ED or the department). In July of that year, President Lyndon B. Johnson signed into law the Civil Rights Act of 1964, after Congress reached a consensus that the mistreatment of black Americans was no longer tolerable and merited a federal response. In the case of the Elementary and Secondary Education Act of 1965 (ESEA)2 and the Higher Education Act of 1965 (HEA),3 Congress sought to improve educational outcomes for disadvantaged students by providing additional compensatory funding for low-income children and lower-income college students."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,"c(""ED"", ""ESEA"")",ED,"c(""civil rights"", ""black"")","For most of our history, the federal government played a minor role in education. Then, over a 14-month period beginning in 1964, Congress planted the seeds for what would become the U.S. Department of Education (ED or the department). In July of that year, President Lyndon B. Johnson signed into law the Civil Rights Act of 1964, after Congress reached a consensus that the mistreatment of black Americans was no longer tolerable and merited a federal response. In the case of the Elementary and Secondary Education Act of 1965 (ESEA)2 and the Higher Education Act of 1965 (HEA),3 Congress sought to improve educational outcomes for disadvantaged students by providing additional compensatory funding for low-income children and lower-income college students."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,"c(""ED"", ""ESEA"")",ED,"c(""civil rights"", ""black"")","For most of our history, the federal government played a minor role in education. Then, over a 14-month period beginning in 1964, Congress planted the seeds for what would become the U.S. Department of Education (ED or the department). In July of that year, President Lyndon B. Johnson signed into law the Civil Rights Act of 1964, after Congress reached a consensus that the mistreatment of black Americans was no longer tolerable and merited a federal response. In the case of the Elementary and Secondary Education Act of 1965 (ESEA)2 and the Higher Education Act of 1965 (HEA),3 Congress sought to improve educational outcomes for disadvantaged students by providing additional compensatory funding for low-income children and lower-income college students."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""civil rights"", ""race"")","* Safeguarding civil rights. Enforcement of civil rights should be based on a proper understanding of those laws, rejecting gender ideology and critical race theory."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""civil rights"", ""race"")","* Safeguarding civil rights. Enforcement of civil rights should be based on a proper understanding of those laws, rejecting gender ideology and critical race theory."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""civil rights"", ""race"")","* Safeguarding civil rights. Enforcement of civil rights should be based on a proper understanding of those laws, rejecting gender ideology and critical race theory."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""civil rights"", ""race"")","* Safeguarding civil rights. Enforcement of civil rights should be based on a proper understanding of those laws, rejecting gender ideology and critical race theory."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""civil rights"", ""race"")","* Safeguarding civil rights. Enforcement of civil rights should be based on a proper understanding of those laws, rejecting gender ideology and critical race theory."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""civil rights"", ""race"")","* Safeguarding civil rights. Enforcement of civil rights should be based on a proper understanding of those laws, rejecting gender ideology and critical race theory."
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,NULL,NULL,"c(""native"", ""bureau of indian"")",* Transfer the Vocational Rehabilitation Grants for Native American students to the Bureau of Indian Education.
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,NULL,NULL,"c(""native"", ""bureau of indian"")",* Transfer the Vocational Rehabilitation Grants for Native American students to the Bureau of Indian Education.
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,NULL,NULL,"c(""native"", ""bureau of indian"")",* Transfer the Vocational Rehabilitation Grants for Native American students to the Bureau of Indian Education.
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,NULL,NULL,"c(""native"", ""bureau of indian"")",* Transfer the Vocational Rehabilitation Grants for Native American students to the Bureau of Indian Education.
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,NULL,NULL,"c(""native"", ""bureau of indian"")",* Transfer the Vocational Rehabilitation Grants for Native American students to the Bureau of Indian Education.
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,NULL,NULL,"c(""native"", ""bureau of indian"")",* Transfer the Vocational Rehabilitation Grants for Native American students to the Bureau of Indian Education.
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,NULL,NULL,"c(""native"", ""bureau of indian"")",* Transfer the Vocational Rehabilitation Grants for Native American students to the Bureau of Indian Education.
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,"c(""OSERS"", ""DOJ"", ""OCR"")","c(""DOJ"", ""OCR"")","c(""discrimination"", ""civil rights"")","* To the extent that OSERS supports federal efforts to enforce our laws against discrimination of individuals with disabilities, those assets should be moved to the Department of Justice (DOJ) along with the Office for Civil Rights (OCR)."
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,"c(""OSERS"", ""DOJ"", ""OCR"")","c(""DOJ"", ""OCR"")","c(""discrimination"", ""civil rights"")","* To the extent that OSERS supports federal efforts to enforce our laws against discrimination of individuals with disabilities, those assets should be moved to the Department of Justice (DOJ) along with the Office for Civil Rights (OCR)."
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,"c(""OSERS"", ""DOJ"", ""OCR"")","c(""DOJ"", ""OCR"")","c(""discrimination"", ""civil rights"")","* To the extent that OSERS supports federal efforts to enforce our laws against discrimination of individuals with disabilities, those assets should be moved to the Department of Justice (DOJ) along with the Office for Civil Rights (OCR)."
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,"c(""OSERS"", ""DOJ"", ""OCR"")","c(""DOJ"", ""OCR"")","c(""discrimination"", ""civil rights"")","* To the extent that OSERS supports federal efforts to enforce our laws against discrimination of individuals with disabilities, those assets should be moved to the Department of Justice (DOJ) along with the Office for Civil Rights (OCR)."
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,"c(""OSERS"", ""DOJ"", ""OCR"")","c(""DOJ"", ""OCR"")","c(""discrimination"", ""civil rights"")","* To the extent that OSERS supports federal efforts to enforce our laws against discrimination of individuals with disabilities, those assets should be moved to the Department of Justice (DOJ) along with the Office for Civil Rights (OCR)."
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,"c(""OSERS"", ""DOJ"", ""OCR"")","c(""DOJ"", ""OCR"")","c(""discrimination"", ""civil rights"")","* To the extent that OSERS supports federal efforts to enforce our laws against discrimination of individuals with disabilities, those assets should be moved to the Department of Justice (DOJ) along with the Office for Civil Rights (OCR)."
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,"c(""OSERS"", ""DOJ"", ""OCR"")","c(""DOJ"", ""OCR"")","c(""discrimination"", ""civil rights"")","* To the extent that OSERS supports federal efforts to enforce our laws against discrimination of individuals with disabilities, those assets should be moved to the Department of Justice (DOJ) along with the Office for Civil Rights (OCR)."
OESE,DEPARTMENT OF EDUCATION,ED,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,OESE,IDEA,NULL,"c(""civil rights"", ""equity"")","across the federal government, it will need to thoroughly review the many education-related regulations promulgated by the Biden Administration. There are five primary regulatory targets (as of December 2022) that require the next Administration’s attention: regulations on (1) Charter School Grant Program Priorities; (2) Civil Rights Data Collection; (3) Student Assistance General Provisions, Federal Perkins Loan Program, and William D. Ford Federal Direct Loan Program Final Regulations; (4) Nondiscrimination on the Basis of Sex in Education Programs or Activities Receiving Federal Financial Assistance (Title IX); and (5) Assistance to States for the Education of Children with Disabilities, Preschool Grants for Children with Disabilities (Equity in IDEA). The next Administration should also review regulatory changes to the school meals program (under the Department of Agriculture) and changes to the Income-Driven student loan program. Additional Biden Administration regulations on (1) gainful employment, administrative capability, and financial responsibility for institutions that participate in the federal student loans and grant programs; (2) Title VI, (3) accreditation of postsecondary institutions, and (4) female athletics are expected in to be released in 2023."
